RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_INDEX	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_RUN_ID	CURRENT_FIX_PUPIL	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_X_RESOLUTION	CURRENT_FIX_Y_RESOLUTION	EYE_REPORTED	PREVIOUS_FIX_INTEREST_AREA_ID	NEXT_FIX_INTEREST_AREA_ID	Session_Name_	associatedword	condition	targetword	Trial_Index_	Trial_Recycled_	answerkey	associativechunk	correct	correctAnswer	correct_1	group	identifier_1	itemid	qu_1	question	question_1	questiontext	storytopic	targetwordchunk	text	text_1	trial_1
P88LI3	1	1	545	692	151	Die	1	1	783,00	158,70	165,20	45,80	44,10	RIGHT	.	2	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	2	716	844	132	Forscherin	2	1	827,00	229,20	153,70	45,20	43,80	RIGHT	1	4	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	3	888	1044	160	Elise	4	1	820,00	410,20	162,40	44,00	43,40	RIGHT	2	5	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	4	1088	1280	196	Linden	5	1	796,00	562,20	177,80	43,25	43,00	RIGHT	4	5	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	5	1296	1448	156	Linden	5	1	782,00	525,80	176,70	43,40	43,05	RIGHT	5	4	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	6	1484	1672	192	Elise	4	2	781,00	414,40	169,20	44,00	43,40	RIGHT	5	5	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	7	1704	1856	156	Linden	5	2	787,00	539,30	175,90	43,40	43,10	RIGHT	4	6	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	8	1888	2056	172	arbeitete	6	1	784,00	670,20	176,30	42,90	42,80	RIGHT	5	8	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	9	2100	2344	248	ihrem	8	1	776,00	850,10	165,80	42,70	42,70	RIGHT	6	9	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	10	2380	2480	104	Labor	9	1	768,00	1013,40	155,00	42,90	42,80	RIGHT	8	11	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	11	2508	2664	160	Amsterdam	11	1	760,00	1119,70	139,80	43,20	43,00	RIGHT	9	13	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	12	2748	3000	256	ihrer	13	1	813,00	217,40	241,90	45,35	43,80	RIGHT	11	15	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	13	3040	3184	148	über	15	1	793,00	409,90	236,90	44,00	43,20	RIGHT	13	16	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
P88LI3	1	14	3212	3380	172	globale	16	1	778,00	549,70	242,80	43,20	42,75	RIGHT	15	15	P88LI3	Krater	scientific_real	Meteorit	1	False	j	19	f	False	j	I3	practise	10_scientific_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Flog das Flugzeug erst in einer Woche?	Astronomie	13	Die Forscherin Dr. Elise Linden arbeitete in ihrem Labor in Amsterdam \nan ihrer Studie über globale Erwärmung. Gegen Nachmittag klingelte ihr Handy \nund sie wurde von ihren Vorgesetzten zu einer dringenden Besprechung gerufen. \nMan hatte in einem Forschungsinstitut in den USA nach ihrer Expertise gefragt. \nIn den USA war gestern ein Meteorit eingeschlagen, deshalb gab es große Aufregung. \nSie überlegte, wie groß der Krater sein musste. Sie entschloss sich dazu, an der Mission \nteilzunehmen, denn sie könnte gleichzeitig Proben für ihre eigenen Forschungsprojekte \nsammeln. Aufgeregt verließ sie ihr Labor und eilte nach Hause, um ihre Koffer zu packen. \nDer Flug für ihre Reise in die USA würde bereits morgen früh um 6 Uhr abheben. \nSie konnte vor Aufregung kaum schlafen, aber sie saß rechtzeitig im Flugzeug.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2
